server is started on 0.0.0.0/0.0.0.0:8090
Server opens a stream
Client opens a stream
UP!!
Msg 250 --> 321840
Msg 251 --> 366861
Msg 252 --> 314710
Msg 253 --> 382473
Msg 254 --> 357656
Msg 255 --> 388635
Msg 256 --> 354618
Msg 257 --> 239613
Msg 258 --> 305534
Msg 259 --> 286683
Msg 260 --> 252643
Msg 261 --> 1632413
Msg 262 --> 284925
Msg 263 --> 433372
Msg 264 --> 418151
Msg 265 --> 370218
Msg 266 --> 357908
Msg 267 --> 475790
Msg 268 --> 382236
Msg 269 --> 441591
Msg 270 --> 501953
Msg 271 --> 379564
Msg 272 --> 406428
Msg 273 --> 397023
Msg 274 --> 385801
Msg 275 --> 350678
Msg 276 --> 319114
Msg 277 --> 598910
Msg 278 --> 398718
Msg 279 --> 395852
Msg 280 --> 395290
Msg 281 --> 347601
Msg 282 --> 410869
Msg 283 --> 389317
Msg 284 --> 351751
Msg 285 --> 345922
Msg 286 --> 519318
Msg 287 --> 447045
Msg 288 --> 331958
Msg 289 --> 287697
Msg 290 --> 216504
Msg 291 --> 393057
Msg 292 --> 340859
Msg 293 --> 292351
Msg 294 --> 464402
Msg 295 --> 303983
Msg 296 --> 484526
Msg 297 --> 364736
Msg 298 --> 435460
Msg 299 --> 404328
Msg 300 --> 389618
Msg 301 --> 378666
Msg 302 --> 369674
Msg 303 --> 428491
Msg 304 --> 336549
Msg 305 --> 343606
DOWN!!
here 15
UP!!
here 81
Msg 306 --> 20735297739
Msg 307 --> 18730172360
Msg 308 --> 18729973327
Msg 309 --> 17726571926
Msg 310 --> 15721394304
Msg 311 --> 14716890635
Msg 312 --> 14716669663
Msg 313 --> 14716611319
Msg 314 --> 14716581789
Msg 315 --> 14716563944
Msg 316 --> 14716516881
Msg 317 --> 10716020134
Msg 318 --> 10715867591
Msg 319 --> 10715834098
Msg 320 --> 10715826008
Msg 321 --> 10715714905
Msg 322 --> 10715644190
Msg 323 --> 10715626148
Msg 324 --> 10715621674
Msg 325 --> 10715624822
Msg 326 --> 10715544449
Msg 327 --> 10715491195
Msg 328 --> 10715458968
Msg 329 --> 9714909792
Msg 330 --> 7711301489
Msg 331 --> 6708073975
Msg 332 --> 6707932697
Msg 333 --> 5704755569
Msg 334 --> 5704615287
Msg 335 --> 5704555030
Msg 336 --> 5704529499
Msg 337 --> 5704521454
Msg 338 --> 5704517266
Msg 339 --> 5704493231
Msg 340 --> 5704483038
Msg 341 --> 5704469477
Msg 342 --> 5704468014
Msg 343 --> 5704467458
Msg 344 --> 5704461974
Msg 345 --> 5704456889
Msg 346 --> 5704455986
Msg 347 --> 5704447963
Msg 348 --> 4702307352
Msg 349 --> 4702169523
Msg 350 --> 4702118155
Msg 351 --> 4702026723
Msg 352 --> 4701941144
Msg 353 --> 4701898575
Msg 354 --> 4701861650
Msg 355 --> 4701853523
Msg 356 --> 3698708550
Msg 357 --> 2695444200
Msg 358 --> 2695229028
Msg 359 --> 2695173091
Msg 360 --> 2694974753
Msg 361 --> 2694939896
Msg 362 --> 2694928705
Msg 363 --> 2694922403
Msg 364 --> 1693579342
Msg 365 --> 326390
Msg 366 --> 320061
Msg 367 --> 316924
Msg 368 --> 600569
Msg 369 --> 552612
Msg 370 --> 485186
Msg 371 --> 499703
Msg 372 --> 501769
Msg 373 --> 521396
Msg 374 --> 484828
Msg 375 --> 454729
Msg 376 --> 422257
Msg 377 --> 430402
Msg 378 --> 427637
Msg 379 --> 398872
Msg 380 --> 416551
Msg 381 --> 560493
Msg 382 --> 371550
Msg 383 --> 376882
Msg 384 --> 153599
Msg 385 --> 535897
Msg 386 --> 422588
Msg 387 --> 457231
Msg 388 --> 475089
Msg 389 --> 451436
Msg 390 --> 432065
Msg 391 --> 394692
Msg 392 --> 453591
Msg 393 --> 356990
Msg 394 --> 286231
Msg 395 --> 208831
Msg 396 --> 171242
Msg 397 --> 491087
Msg 398 --> 431721
Msg 399 --> 373844
Msg 400 --> 279761
Msg 401 --> 339221
Msg 402 --> 426400
Msg 403 --> 337210
Msg 404 --> 335627
Msg 405 --> 311432
Msg 406 --> 497193
Msg 407 --> 595765
Msg 408 --> 449920
Msg 409 --> 338642
Msg 410 --> 287981
Msg 411 --> 503322
Msg 412 --> 430680
Msg 413 --> 365836
Msg 414 --> 335506
Msg 415 --> 292710
Msg 416 --> 326498
Msg 417 --> 322302
Msg 418 --> 320933
Msg 419 --> 435059
Msg 420 --> 362735
Msg 421 --> 317309
Msg 422 --> 278208
Msg 423 --> 270179
Msg 424 --> 443433
Msg 425 --> 349673
Msg 426 --> 257615
Msg 427 --> 220266
Msg 428 --> 235359
Msg 429 --> 221479
Msg 430 --> 384487
Msg 431 --> 355026
Msg 432 --> 347018
Msg 433 --> 353206
Msg 434 --> 411818
Msg 435 --> 441584
Msg 436 --> 476978
Msg 437 --> 485327
Msg 438 --> 494716
Msg 439 --> 485905
Msg 440 --> 485225
Msg 441 --> 484461
Msg 442 --> 543659
Msg 443 --> 547532
Msg 444 --> 540339
Msg 445 --> 469237
Msg 446 --> 296931
Msg 447 --> 314183
Msg 448 --> 318716
Msg 449 --> 195794
Msg 450 --> 178965
Msg 451 --> 172534
Msg 452 --> 157302
Msg 453 --> 161259
Msg 454 --> 172154
Msg 455 --> 515911
Msg 456 --> 328903
Msg 457 --> 487615
Msg 458 --> 356838
Msg 459 --> 304847
Msg 460 --> 282748
Msg 461 --> 321866
Msg 462 --> 301912
Msg 463 --> 390869
Msg 464 --> 278433
Msg 465 --> 252858
Msg 466 --> 258067
Msg 467 --> 224707
Msg 468 --> 184367
Msg 469 --> 257321
Msg 470 --> 212030
Msg 471 --> 430250
Msg 472 --> 458028
Msg 473 --> 361402
Msg 474 --> 333184
Msg 475 --> 315514
Msg 476 --> 265346
Msg 477 --> 241314
Msg 478 --> 172458
Msg 479 --> 471916
Msg 480 --> 348998
Msg 481 --> 309316
Msg 482 --> 291626
Msg 483 --> 258437
Msg 484 --> 202737
Msg 485 --> 169602
Msg 486 --> 133146
Msg 487 --> 123823
Msg 488 --> 141141
Msg 489 --> 232764
Msg 490 --> 266240
Msg 491 --> 288695
Msg 492 --> 313384
Msg 493 --> 284313
Msg 494 --> 276699
Msg 495 --> 285506
Msg 496 --> 240623
Msg 497 --> 220136
Msg 498 --> 417905
Msg 499 --> 435542
Msg 500 --> 395023
Msg 501 --> 376658
Msg 502 --> 266437
Msg 503 --> 242077
Msg 504 --> 230755
Msg 505 --> 194597
Msg 506 --> 219242
Msg 507 --> 241550
Msg 508 --> 277965
Msg 509 --> 592790
Msg 510 --> 669029
Msg 511 --> 702609
Msg 512 --> 497932
Msg 513 --> 489948
Msg 514 --> 482296
Msg 515 --> 486531
Msg 516 --> 487615
Msg 517 --> 484044
Msg 518 --> 475161
Msg 519 --> 448143
Msg 520 --> 442914
